Title,Date,Rating,Review
Perfect First Bike!,2025-06-15,5,"Bought a balance bike for my 3-year-old in Koramangala branch. Lightweight, sturdy, and assembled perfectly. Staff patiently helped us choose the right size. Worth every rupee!"
Delivery Disaster,2025-05-22,1,"Ordered online for birthday gift - arrived 4 days late with wrong color. No apology, just blamed 'logistics issues'. Horrible customer service!"
Safety First Approach,2025-06-10,5,"Impressed with their helmet fitting service! Explained impact protection standards and adjusted straps perfectly. My son now wears it willingly."
Fell Apart in 2 Weeks,2025-04-18,2,"Cheap Chinese import disguised as premium. Brakes failed and training wheels bent after mild use. Avoid budget models here."
Indiranagar Gem,2025-06-05,5,"Knowledgeable staff helped compare 5 brands. Daughter loves her new 16-inch Firefox with custom basket. Free first servicing included!"
Rude Salesman,2025-03-12,1,"Asked about warranty and salesman snapped 'Read brochure yourself!' Unacceptable behavior in Whitefield outlet. Walked out immediately."
Life-Saver Accessories,2025-05-30,4,"Their puncture-resistant tires saved us from 5 flats this monsoon! Wish they stocked more bright safety flags though."
Assembly Nightmare,2025-02-08,2,"Paid extra for home assembly - technician left loose bolts. Handlebar came off during first ride! Luckily child wasn't hurt."
Best Exchange Program,2025-06-12,5,"Upgraded to bigger cycle with 70% value for old one! Smooth process in HSR branch. Other shops offer only 50%."
Rusting After Rain,2025-04-05,1,"Premium cycle started rusting at joints after 2 Bangalore showers. Store refused warranty claim calling it 'normal wear'."
Training Wheel Pros,2025-05-25,4,"Adjustable training wheels helped my nervous 5-year-old gain confidence. Staff taught proper adjustment techniques free."
Wrong Online Description,2025-03-30,2,"Website showed Shimano gears but delivered local knockoffs. Return took 3 weeks and endless calls."
Rainy Day Haven,2025-06-03,5,"Spent 2 hours testing bikes during downpour. Staff offered chai while kids enjoyed indoor test track. 10/10 experience!"
Overpriced Helmets,2025-01-15,3,"Good quality but 40% costlier than online. Only bought here for emergency replacement during school event."
Size Wizardry,2025-05-18,5,"Measured my twins' inseam to recommend perfect-fit cycles. No more tiptoeing or knee-bumping! Magic!"
Squeaky Brakes,2025-04-22,2,"Constant screeching after 3 weeks. Service center 'fixed' it twice but noise returns. Annoying entire apartment complex!"
Gift Wrapping Star,2025-06-08,4,"Free birthday wrapping with cartoon paper and bow! Made nephew's surprise extra special. Cycle quality seems great too."
Vanished Accessories,2025-02-25,1,"Paid for bell and bottle holder during purchase. 'Out of stock' they said - 2 months later still not delivered!"
Tricycle Triumph,2025-05-12,5,"Special needs daughter finally comfortable on their adaptive trike. Therapist-approved design worth the investment."
Bumpy Test Ride,2025-03-08,3,"Test track has potholes - poor first impression. But cycles performed well on actual roads. Mixed feelings."
Festival Discounts,2025-05-05,4,"Scored 25% off during Diwali sale! Queue was long but staff handled crowd efficiently with free snacks."
Greasy Handprints,2025-01-20,2,"Display cycles covered in oil stains. My kid's new dress ruined after brushing against a handlebar. No apology offered."
Height Chart Helpful,2025-06-01,5,"Wall-mounted size chart with animal illustrations made choosing effortless. Kid picked 'giraffe level' bike herself!"
Fragile Basket,2025-04-15,1,"Wicker basket shattered when my daughter put her water bottle in. Flimsy overpriced junk - ₹800 wasted."
Night Riding Kit,2025-05-22,5,"Reflective vest + LED wheel lights combo lights up dark streets. School bus stop is safer now!"
